"filename", "language", "TypeScript", "vue", "JavaScript", "CSS", "SCSS", "XML", "Properties", "comment", "blank", "total"
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\App.vue", "vue", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\api\objects.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 6, 6, 37
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\assets\base.css", "CSS", 0, 0, 0, 71, 0, 0, 0, 2, 14, 87
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\assets\main.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\CodeInput.vue", "vue", 0, 40, 0, 0, 0, 0, 0, 1, 4, 45
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\DiagramOutput.vue", "vue", 0, 187, 0, 0, 0, 0, 0, 0, 17, 204
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\FileProps.vue", "vue", 0, 90, 0, 0, 0, 0, 0, 0, 17, 107
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\Graphics.vue", "vue", 0, 631, 0, 0, 0, 0, 0, 0, 10, 641
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\Header.vue", "vue", 0, 571, 0, 0, 0, 0, 0, 21, 51, 643
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\NotFound.vue", "vue", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\OdAction.vue", "vue", 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\PenProps.vue", "vue", 0, 144, 0, 0, 0, 0, 0, 0, 23, 167
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\Props.vue", "vue", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\View.vue", "vue", 0, 79, 0, 0, 0, 0, 0, 0, 14, 93
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\layout\AppAside.vue", "vue", 0, 76, 0, 0, 0, 0, 0, 0, 9, 85
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\layout\AppHeader.vue", "vue", 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\layout\AppLayout.vue", "vue", 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\layout\isCollapse.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\views\DemandExtraction.vue", "vue", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\views\FlowDiagram.vue", "vue", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\views\HomeView.vue", "vue", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\views\IndexView.vue", "vue", 0, 60, 0, 0, 0, 0, 0, 0, 8, 68
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\views\ObjectDiagram.vue", "vue", 0, 54, 0, 0, 0, 0, 0, 0, 8, 62
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\components\views\PreView.vue", "vue", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\global.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\main.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 5, 22
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\router\index.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 1, 3, 32
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 343, 0, 0, 4, 91, 438
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\utils\request.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\utils\selections.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 2, 5, 35
"d:\IDEAprojects\umlGenerator\uml-frontend\umlrender\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 65, 2091, 43, 101, 343, 1, 1, 41, 321, 3007